行为时间,view_duration,tp_video_view
2023-11-29 00:00:00,210,0
2023-11-29 00:00:00,211,0
2023-11-29 00:00:00,212,1
2023-11-29 00:00:00,219,1
2023-11-29 00:00:00,221,0
2023-11-29 00:00:00,225,0
2023-11-29 00:00:00,228,0
2023-11-29 00:00:00,231,0
2023-11-29 00:00:00,233,0
2023-11-29 00:00:00,234,0
2023-11-29 00:00:00,256,0
2023-11-29 00:00:00,259,0
2023-11-29 00:00:00,261,0
2023-11-29 00:00:00,262,0
2023-11-29 00:00:00,264,0
2023-11-29 00:00:00,272,0
2023-11-29 00:00:00,273,0
2023-11-29 00:00:00,279,0
2023-11-29 00:00:00,280,0
2023-11-29 00:00:00,285,0
2023-11-29 00:00:00,288,1
2023-11-29 00:00:00,289,0
2023-11-29 00:00:00,291,0
2023-11-29 00:00:00,295,0
2023-11-29 00:00:00,296,0
2023-11-29 00:00:00,299,0
2023-11-29 00:00:00,313,1
2023-11-29 00:00:00,32,0
2023-11-29 00:00:00,326,0
2023-11-29 00:00:00,337,0
2023-11-29 00:00:00,339,0
2023-11-29 00:00:00,342,0
2023-11-29 00:00:00,344,0
2023-11-29 00:00:00,349,0
2023-11-29 00:00:00,354,0
2023-11-29 00:00:00,359,0
2023-11-29 00:00:00,360,0
2023-11-29 00:00:00,365,0
2023-11-29 00:00:00,366,0
2023-11-29 00:00:00,367,0
2023-11-29 00:00:00,368,0
2023-11-29 00:00:00,372,0
2023-11-29 00:00:00,375,0
2023-11-29 00:00:00,38,0
2023-11-29 00:00:00,396,0
2023-11-29 00:00:00,399,0
2023-11-29 00:00:00,4.113,0
2023-11-29 00:00:00,407,0
2023-11-29 00:00:00,412,0
2023-11-29 00:00:00,414,0
2023-11-29 00:00:00,421,0
2023-11-29 00:00:00,424,0
2023-11-29 00:00:00,429,1
2023-11-29 00:00:00,434,0
2023-11-29 00:00:00,435,0
2023-11-29 00:00:00,436,0
2023-11-29 00:00:00,439,0
2023-11-29 00:00:00,449,0
2023-11-29 00:00:00,45,0
2023-11-29 00:00:00,450,0
2023-11-29 00:00:00,451,0
2023-11-29 00:00:00,452,0
